scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1751,0.76,0.22,selected,True,True,False,30.668993916920293,0.2555749493076691,744.2208372487003,1.635952806225932e-14,1.4687807065508835e-13,True,5,0.18560769617803974,1.5720758028692217e-13
1752,0.78,0.22,baseline,True,True,False,71.53679403796073,0.5961399503163394,3004.0141574844865,2.3025152966685678e-14,1.0087625500526311e-13,True,5,0.31732264469240157,4.94770890924201e-13
1752,0.78,0.22,selected,True,True,True,2.8413276449161717,0.02367773037430143,160.53907463511905,1.8026386324962415e-14,4.98894061870109e-14,True,2,1.668373288502075,2.113864638886298e-13
1779,0.6,0.24,baseline,True,True,False,12.040192484865493,0.10033493737387911,499.0532031893082,3.6909697986596355e-15,3.198547403831967e-14,True,5,0.8171272704929049,2.113864638886298e-13
1779,0.6,0.24,selected,True,True,False,11.986121566267585,0.0998843463855632,510.57983190555166,1.87277957005191e-14,8.75280979546604e-13,True,5,0.06194127584730591,1.6830981053317373e-13
1780,0.62,0.24,baseline,True,True,False,22.13589431609604,0.184465785967467,893.5946595528975,5.742990116970452e-15,3.709055733298918e-14,True,5,0.8952503036946817,1.0338396805309458e-12
1780,0.62,0.24,selected,True,True,False,22.135894316095346,0.18446578596746122,893.5946595562613,3.049705049252278e-15,1.6244749426965975e-14,True,5,0.03457500805028957,4.098943406916078e-13
1781,0.64,0.24,baseline,False,False,False,,,,,,,,,
1781,0.64,0.24,selected,True,True,False,112.7876266389225,0.9398968886576875,20807.43228891399,9.231556188810066e-15,5.199346873338308e-14,True,5,0.9519002774382379,0.4074742649046357
1782,0.66,0.24,baseline,False,False,False,,,,,,,,,
1782,0.66,0.24,selected,True,True,False,23.66257342832343,0.19718811190269525,741.0187559805582,1.3510010393392684e-14,7.13407052825579e-14,True,3,0.8829473814746764,2.8199664825478976e-13
1783,0.68,0.24,baseline,False,False,False,,,,,,,,,
1783,0.68,0.24,selected,False,False,False,,,,,,,,,
1784,0.7000000000000001,0.24,baseline,True,True,False,123.63316163022076,1.0302763469185063,10330.2854904367,1.897158057450664e-14,1.0160632596606558e-13,True,5,0.7238596944841884,3.1415926535898406
1784,0.7000000000000001,0.24,selected,False,False,False,,,,,,,,,
1785,0.72,0.24,baseline,True,True,False,38.56652291065678,0.3213876909221398,1094.1892659949128,2.3942703438560583e-15,1.314255485279727e-14,True,5,0.6358833304312732,3.832004158432767e-14
